RozmerA;RozmerB;EKS_K;EKS_A;EKP_K;EKP_A
9;13;40;65;50;65
10;15;45;0;0;75
10,5;15;45;80;55;0
13;18;60;110;70;95
15;15;0;0;0;0
15;20;55;120;75;85
15;21;65;120;75;100
18;24;70;115;95;105
18;25,4;95;140;115;150
20;20;100;150;120;160
20;25;0;0;0;0
20;28;80;155;105;125
20;30;85;155;105;135
21;29,7;90;155;110;140
24;30;100;160;120;155
25,4;38,1;140;200;175;220
28;35;135;230;160;210
29,7;42;155;295;205;240
30;30;150;260;205;235
30;40;150;285;205;235
30;45;165;310;225;255
32;96;0;0;0;0
40;100;470;655;590;735
40;40;210;340;275;325
40;50;205;410;280;325
40;60;240;480;325;375
42;59,4;255;500;340;400
50;100;620;550;805;970
50;50;265;515;365;410
50;60;295;595;400;460
50;70;320;650;410;500
59,4;84,1;560;955;640;870
60;60;440;620;520;685
60;80;475;900;640;740
60;84;0;0;0;0
60;85;575;830;645;895
62;93;545;1085;720;850
70;100;640;1275;845;995
70;70;680;825;680;1060
75;100;0;0;0;0
80;80;0;0;0;0
90;90;0;0;0;0
30;110;0;0;590;805
30;150;0;0;985;1340
40;110;0;0;730;990
40;120;0;0;780;1060
50;110;0;0;865;1175
50;120;0;0;925;1260
50;130;0;0;990;1345
50;140;0;0;1055;1430
50;150;0;0;1115;1515
60;110;0;0;1005;1365
60;120;0;0;1090;1480
60;130;0;0;1155;1565
60;140;0;0;1230;1670
60;150;0;0;1300;1770
60;160;0;0;1375;1870
70;110;0;0;1140;1550
70;120;0;0;1230;1670
70;130;0;0;1315;1785
70;140;0;0;1400;1905
70;150;0;0;1490;2025
70;160;0;0;1575;2145
70;180;0;0;1750;2380
80;80;0;0;980;1330
80;90;0;0;1080;1465
80;100;0;0;1180;1600
80;110;0;0;1280;1735
80;120;0;0;1375;1870
80;130;0;0;1475;2005
80;140;0;0;1575;2145
80;150;0;0;1675;2280
90;90;0;0;1190;1620
90;100;0;0;1300;1770
90;110;0;0;1415;1920
90;120;0;0;1530;2075
90;130;0;0;1640;2225
90;140;0;0;1750;2380
90;150;0;0;1865;2530
90;160;0;0;1975;2685
90;170;0;0;2090;2840
100;100;0;0;1425;1940
100;110;0;0;1550;2110
100;120;0;0;1675;2375
100;130;0;0;1805;2450
100;140;0;0;1925;2620
100;150;0;0;2050;2785
100;160;0;0;2465;3350
