RozmerA;RozmerB;EKS_K;EKS_A;EKP_K;EKP_A
9;13;29;37;37;35
10;15;24;45;23;36
10,5;15;24;39;39;39
13;18;30;54;38;50
15;15;75;98;72;99
15;20;34;66;58;59
15;21;39;68;39;57
18;24;39;65;57;59
18;25,4;59;79;63;59
20;20;67;85;70;75
20;25;79;135;105;110
20;28;59;87;65;81
20;30;49;86;64;75
21;29,7;52;85;57;75
24;30;58;89;73;88
25,4;38,1;93;111;97;142
28;35;79;129;89;123
29,7;42;95;168;89;139
30;30;96;135;107;142
30;40;85;149;108;149
30;45;97;150;115;159
32;96;349;595;380;520
40;100;322;389;329;430
40;40;155;184;157;205
40;50;148;243;148;199
40;60;158;265;175;235
42;59,4;138;253;182;240
50;100;399;395;422;530
50;50;195;297;215;380
50;60;177;300;215;255
50;70;208;369;219;297
59,4;84,1;369;580;349;440
60;60;308;455;308;472
60;80;339;570;345;453
60;84;499;650;495;790
60;85;385;519;369;449
62;93;385;685;395;490
70;100;465;795;438;599
70;70;438;545;397;630
75;100;0.000;0.000;990;1180
80;80;0.000;0.000;999;995
90;90;0.000;0.000;1090;1180
